local_authority_id,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
132,1993,385.351,239.45,287107346.8,342253274.6
170,1993,493.212,306.47,604140895.9,704812232.2
171,1993,675.168,419.53,446328948.9,522848364.9
163,1993,845.721,525.51,668148077.7,800037861.4
164,1993,523.937,325.56,343540975.7,424064976.8
156,1993,542.459,337.07,409189896,497410108.1
74,1993,932.645,579.52,1024182940,1280074513
198,1993,549.988,341.75,319820060.2,382343029.2
193,1993,455.685,283.15,291962403.3,335385766.5
169,1993,713.66,443.45,561704369.6,680524428.6
89,1993,3367.685,2092.58,1286141161,1624456180
131,1993,638.187,396.55,427947343.1,520161261.4
130,1993,1384.903,860.54,577615303.5,785495256.5
202,1993,826.544,513.59,524500823.9,629222060.7
119,1993,737.679,458.37,811630615.3,955677822.8
153,1993,776.114,482.25,664194750.8,784032114.9
98,1993,531.032,329.97,226109271.2,292811254.2
188,1993,772.938,480.28,731875053.4,876982238.1
155,1993,3313.255,2058.76,717891305.4,919115259.4
187,1993,979.593,608.69,574769319.1,692721269
140,1993,817.303,507.85,612307553.3,734309806.4
115,1993,1025.891,637.46,515122469.8,611016027
144,1993,1103.676,685.79,1028594049,1223835699
183,1993,1103.899,685.93,879067666.7,1051393023
143,1993,1451.545,901.95,1381876879,1701375569
203,1993,785.6,488.15,611513430.9,723682613.5
184,1993,513.412,319.02,293247087.6,342480032.2
182,1993,496.184,308.31,394185006.4,454822596.7
200,1993,501.136,311.39,386763133.3,453396186.3
181,1993,790.318,491.08,706285848.1,853161496.2
129,1993,866.484,538.41,748446811.2,900899872.2
120,1993,436.302,271.11,372377901.8,440393086.3
127,1993,435.941,270.88,319161357.7,368984614.8
128,1993,559.343,347.56,619042038.2,775898474.2
64,1993,790.404,491.13,535702667.7,650588240.3
180,1993,437.113,271.61,356180914.1,408275765.8
67,1993,1339.808,832.52,1164498133,1420351156
114,1993,382.132,237.45,322437358.9,376341185.6
112,1993,305.549,189.86,384101285.4,454999847.1
179,1993,678.151,421.38,827930996.1,964621166.1
113,1993,703.039,436.85,786330885.1,924257154.5
191,1993,1136.475,706.17,1037524762,1237592704
136,1993,613.996,381.52,641970880.7,748989528.7
82,1993,437.073,271.58,596888777.7,705055658.7
137,1993,558.654,347.13,537451172,631011438.8
199,1993,847.378,526.54,288550203.7,341734473.8
92,1993,3720.03,2311.52,1540946425,1933100392
116,1993,5061.204,3144.89,1191456740,1515889142
139,1993,7507.285,4664.81,1796834221,2183686250
1,1993,36.009,22.37,918577.3831,1407915.275
68,1993,4599.585,2858.05,2235702322,2735383849
102,1993,5005.786,3110.45,1082036346,1329374495
160,1993,1035.337,643.33,910279588.5,1094157460
86,1993,602.343,374.28,645940808.8,798638073
85,1993,1330.124,826.5,1299789364,1533590864
162,1993,790.528,491.21,419444522.7,501976746.4
95,1993,755.269,469.3,675724881.1,858587019.3
90,1993,761.924,473.44,1019524500,1264927509
56,1993,958.451,595.55,833611352.8,983413080.1
196,1993,724.196,449.99,429584152.3,516678091.8
91,1993,778.803,483.93,746996572.5,889107947.7
75,1993,1086.627,675.2,822112163.1,1006865372
157,1993,552.187,343.11,568774753.6,692132056.9
161,1993,1392.97,865.55,1060013192,1258375166
158,1993,705.493,438.37,537779767.4,668439855
192,1993,964.816,599.51,555222414.8,654103445.9
84,1993,1170.36,727.23,745227320,877283213.5
194,1993,1135.249,705.41,729068163.8,914799940.8
79,1993,1631.2,1013.58,1085671767,1414524086
62,1993,1156.817,718.81,930438456.3,1175734572
159,1993,1937.878,1204.14,1167583642,1422999471
172,1993,901.981,560.47,887526074,1036809662
173,1993,741.558,460.78,628596697.8,728210331
166,1993,523.824,325.49,362292501.2,426993542.7
94,1993,1121.321,696.76,813803349.7,969912336.3
