year,region_id,road_category_id,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
2002,8,6,26101.4,16218.66,204013157.6,100500070.6,5997549251,102895190.5,914744028,152928777,7268617317
2006,7,6,32458.7,20168.9,349893632.4,153076603.9,8449143958,144170231.2,1457755430,171228444.5,10375374667
2007,1,4,4205.46,2613.15,27830256.61,119126680.4,7976237126,85282926.86,1291209906,414242059.5,9886098699
2010,10,6,26368.4,16384.56,176927672.8,89185198.83,6922689395,155449554.5,1227094822,118928044.5,8513347015
2014,5,4,3692.82,2294.61,52162617.67,74352431.22,8750313220,121721718.9,1422707882,382111762.2,10751207014
1998,6,5,512.9,318.7,19920539.05,38517557.46,1242834347,31972654.7,161042636,26622648.73,1500989844
1993,10,1,351.963,218.7,0,14245825.01,3859969876,35652342.2,511967524,858508350.6,5280343918
2005,11,1,55.6,34.55,0,2048847.543,482205070.2,2418056.053,83273018.7,78301892.26,648246884.8
2019,6,2,0,0,0,0,0,0,0,0,0
2015,9,3,673.2,418.31,1751204.682,52386133.68,5171719856,25550274.25,991456438.7,455578816.4,6696691520
2019,7,5,3322.998,2064.82,22276546.32,52039087.92,3136876669,17513572.82,792162105,76028065.93,4074619501
1993,11,2,3.848,2.39,0,230639.3164,46939757.44,444550.0775,5346748.737,1541232.95,54502928.52
2004,4,1,141.3,87.8,0,8429800.465,1631918974,8569050.868,245274722.2,205565205.9,2099757754
2008,5,4,3665.35,2277.54,47134282.73,78035727.79,8896239816,116367056.3,1248538509,451182516.5,10790363626
2011,3,5,7313.9,4544.65,18766217.79,19293850.4,1810444928,33542851.31,434690347.2,64708721.8,2362680699
2003,4,5,2984.4665,1854.46,8031405.805,14041868.78,1029749831,23194261.56,215135726.8,45456295.49,1327577984
2017,6,6,12556.13,7802.02,196341175.2,189975893.4,6504797567,66350047.05,1495111138,49608670.25,8305843316
1999,10,1,381.7,237.18,0,22116541.9,4867096706,37809842.4,714029347.4,1043954864,6685007302
2018,4,3,1551.5,964.06,2599844.487,33542267.36,3614155706,24075508.32,775692041.6,269259609.2,4716725132
1996,9,5,3090.5,1920.35,29625735.7,34877565.02,2768913918,30393750.5,372821472.6,80522871.43,3287529577
1993,6,1,65.744,40.85,0,15257265.69,971757403,10743223.95,135701661,111810028.2,1245269582
1995,2,4,2588.476,1608.4,27514696.67,50320421.86,4728256583,52789003.47,614374588.7,372870314.2,5818610912
2019,10,2,3.8,2.36,0,244706.1747,66100846.13,554004.4764,9836291.603,3804494.196,80540342.58
1997,8,2,3.499,2.17,0,248357.0946,45726538.89,486715.0839,6210189.99,3146087.474,55817888.53
2010,3,1,406.61,252.66,0,17156256.93,2998102448,34113720.96,517105022.3,474573844,4041051293
1997,3,3,2859.662,1776.91,4291876.069,29450932.8,4464374891,48967990.68,595274948.1,517287826,5655356588
2006,11,4,1415.71,879.68,10837171.29,28030857.11,3272916662,42697275.63,463798541.6,152352556.8,3959795893
2008,9,3,669.3,415.88,1536962.39,52233592.45,4808750597,24191454.16,814639871.9,445904646.5,6145720162
2002,2,4,2727.76,1694.95,23853153.61,65062622.6,5454669133,55070326.2,758017641.4,385694696,6718514419
2011,8,4,3043.6,1891.21,39286062.52,73683916.86,6924185246,92744206.96,1153090544,329516678.5,8573220592
2018,3,5,7332.5585,4556.24,16709847.53,27718251.95,2097652184,25582378.46,543867476.9,51098404.66,2745918696
2005,7,3,769.67,478.25,1078826.404,41629104.31,4454965950,25732449.65,727040816.1,687395982.5,5936764302
2017,8,4,3085.3,1917.12,37894458.22,68198613.43,7174737990,77235125.73,1298236712,348185762,8966594203
2001,5,2,24.1,14.98,0,915366.7581,192443750.4,1148745.079,24482886.19,14065964.14,233056712.5
2006,10,3,541.28,336.34,1228029.371,18071467.19,2338561761,12022970.42,377908104.7,283259032.2,3029823336
2015,7,2,0,0,0,0,0,0,0,0,0
2014,1,4,4216.57,2620.06,39391996.9,114302962,7791622659,93270001.07,1484591844,365552251.6,9849339717
2013,6,6,12539.08141,7791.42,154837157.6,118926847,5466601062,81639515.27,964761566,62669593.13,6694598583
1998,8,3,702.236,436.35,4296902.962,21093571.67,2510659617,20573597.69,351730536.2,426023980,3330081302
2015,11,3,342.2,212.63,550564.8792,10888640.34,1939087069,9834902.015,358828514.7,179990022.2,2498629148
2011,2,5,2008.5,1248.02,16061649.24,22244794.72,1373113081,14286326.7,284507695.7,52396780.46,1746548679
1996,10,4,2661.357,1653.69,26663027.92,49059130.93,5813999050,90102601.43,720475125.9,330400322.7,7004036231
1995,6,5,512.1,318.2,21267050.43,35177065.93,1232454342,28547656.68,148096988.6,27052016.23,1471328069
2013,1,3,736.5,457.64,1248186.195,25502803.73,3051852124,16049748.9,578716926,253343730.6,3925465333
2012,2,1,195.4,121.42,0,9192295.134,3054684928,13009358.78,525033117.3,580327050.3,4182246749
1993,7,4,2719.344,1689.72,44454687.75,74846773.59,6194496452,61716278.81,783919766.7,378998242.1,7493977513
2019,9,6,39347.91,24449.66,454992570.2,164239275.8,12453010902,108713498.5,2502388490,127873511.9,15356225678
2018,9,3,689.9,428.68,1883491.185,55580524.63,5547023668,23639298.66,1160819129,486106954.5,7273169575
1999,5,6,29899.2,18578.5,173158131.5,83061172.75,7411856011,124494203.8,932560099,160044713.9,8712016200
1996,6,1,68.122,42.33,0,17290404.04,1120406275,12648414.51,170049702.9,133273440,1453668236
