feature,imp
CMWH,0.4394071513754818
PathCount,0.3576394435774708
Longitude,0.32487682439914084
Hour,0.3212530483508541
EntryStreetName,0.3124790862840054
Latitude,0.3104793224551193
EntryHeading,0.26284608256004605
ExitStreetNameCount,0.2474250975464291
IntersectionCount,0.24448247706872403
ExitHeading,0.2354591141762999
EntryStreetNameCount,0.2313341924432026
ExitStreetName,0.2109184434970624
Month,0.20353642459464086
Longitude3Count,0.18853827338725698
CenterDistL1,0.18113172569734512
Latitude3Count,0.16722663523422798
DiffHeading,0.161821337657987
LatitudeDist,0.1597847553470811
LongitudeDist,0.14942297586314013
Rainfall,0.1482041721454494
CenterDistL2,0.1377722943087322
Latitude3,0.13281471875200132
EntryStreetNameUniqueIntersections,0.12304147524286757
Longitude3,0.1212631547127968
Temperature,0.1143921538529431
Longitude3UniqueIntersections,0.09222423098608817
ExitStreetNameUniqueIntersections,0.08783208754929225
Latitude3UniqueIntersections,0.08616776724258796
Weekend,0.07358451121090807
EntryType,0.05040332611610091
ExitType,0.04551479390403798
SameStreet,0.04277894061492404
City,0.02022629449333075
EntryStreetMissing,0.010567468741888254
ExitStreetMissing,0.003150198610535682
